"TOA5","blynken","CR300","36594","CR300-CELL210.11.3.0","CPU:blynken.df84130b24f674375003011e71973b5b.dld","28117","WindUltra"
"TIMESTAMP","RECORD","WindU","WindV"
"TS","RN","",""
"","","Smp","Smp"
"2026-08-07 15:00:00",435,-3.963,0.146
"2026-08-07 16:00:00",436,-3.316,0.87
"2026-08-07 17:00:00",437,-3.64,-0.338
"2026-08-07 18:00:00",438,-2.676,0.558
"2026-08-07 19:00:00",439,-3.589,0.754
"2026-08-07 20:00:00",440,-2.188,-0.678
"2026-08-07 21:00:00",441,-2.746,-0.663
"2026-08-07 22:00:00",442,-0.526,0.49
"2026-08-07 23:00:00",443,-1.022,-0.667
"2026-08-08 00:00:00",444,-1.478,0.191
"2026-08-08 01:00:00",445,-1.277,-0.592
"2026-08-08 02:00:00",446,-0.588,-0.578
"2026-08-08 03:00:00",447,-1.098,0.37
"2026-08-08 04:00:00",448,0.095,-0.322
"2026-08-08 05:00:00",449,-1.014,0.284
"2026-08-08 06:00:00",450,0.082,-0.379
"2026-08-08 07:00:00",451,-1.634,0.146
"2026-08-08 08:00:00",452,-9.23,2.45
"2026-08-08 09:00:00",453,-4.857,0.196
"2026-08-08 10:00:00",454,-3.538,-1.335
"2026-08-08 11:00:00",455,-2.948,-0.908
"2026-08-08 12:00:00",456,-1.797,-0.414
"2026-08-08 13:00:00",457,-3.494,-0.096
"2026-08-08 14:00:00",458,-0.439,-0.193
"2026-08-08 15:00:00",459,-2.319,0.07
"2026-08-08 16:00:00",460,-2.794,0.587
"2026-08-08 17:00:00",461,-5.436,-0.281
"2026-08-08 18:00:00",462,-4.38,-0.546
"2026-08-08 19:00:00",463,-3.103,-0.488
"2026-08-08 20:00:00",464,-2.289,-0.961
"2026-08-08 21:00:00",465,0.277,0.428
"2026-08-08 22:00:00",466,-0.104,0.784
"2026-08-08 23:00:00",467,-1.529,1.36
"2026-08-09 00:00:00",468,-2.047,0.316
"2026-08-09 01:00:00",469,0.295,-0.789
"2026-08-09 02:00:00",470,-0.39,-0.547
"2026-08-09 03:00:00",471,-2.558,0.19
"2026-08-09 04:00:00",472,-3.207,1.279
"2026-08-09 05:00:00",473,-1.441,-0.858
"2026-08-09 06:00:00",474,0.621,-0.789
